Date,Symbol,Order,Shares
2009-11-09,AAPL,SELL,400
2009-11-10,AAPL,BUY,400
2009-11-16,AAPL,SELL,200
2009-11-17,AAPL,BUY,200
2009-11-18,AAPL,SELL,400
2009-11-19,AAPL,BUY,400
2009-11-24,AAPL,SELL,400
2009-11-27,AAPL,BUY,400
2009-11-30,AAPL,SELL,400
2009-12-02,AAPL,BUY,400
2009-12-04,AAPL,SELL,400
2009-12-08,AAPL,BUY,400
2009-12-16,AAPL,SELL,400
2009-12-17,AAPL,BUY,400
2009-12-18,AAPL,SELL,400
2009-12-23,AAPL,BUY,400
2009-12-31,AAPL,SELL,200
